"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","94","BASIC-EVALUATION---METTA-LANGUAGE15.03","","Tue Nov 12 18:44:23 GMT 2024","failed","Tue Nov 12 18:44:23 GMT 2024","","METTA-LANG","METTA-LANG",""
"","4","BASIC-GROUNDED-FUNCTIONS---METTA-LANGUAGE4.01","","Tue Nov 12 18:44:23 GMT 2024","passed","Tue Nov 12 18:44:23 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","CONTROLLING-PATTERN-MATCHING---METTA-LANGUAGE5.02","","Tue Nov 12 18:44:23 GMT 2024","passed","Tue Nov 12 18:44:23 GMT 2024","","METTA-LANG","METTA-LANG",""
"","3","INTERSECTION-TESTS.30","","Tue Nov 12 18:35:12 GMT 2024","passed","Tue Nov 12 18:35:12 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","TEST-IF-CLOSED.02","","Tue Nov 12 18:26:59 GMT 2024","passed","Tue Nov 12 18:26:59 GMT 2024","","ANTI-REGRESSION","ANTI-REGRESSION",""
"","4","CATCH-THROW-TESTS.01","","Tue Nov 12 18:35:12 GMT 2024","passed","Tue Nov 12 18:35:12 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","102","HANDLING-NONDETERMINISTIC-RESULTS---METTA-LANGUAGE3.01","","Tue Nov 12 18:44:23 GMT 2024","passed","Tue Nov 12 18:44:23 GMT 2024","","METTA-LANG","METTA-LANG",""
"","8000","metta_lang.Recursion_and_control___MeTTa_Language8","","Tue Nov 12 18:26:51 GMT 2024","passed","Tue Nov 12 18:26:59 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","3","CALL-TESTS.03","","Tue Nov 12 18:35:12 GMT 2024","passed","Tue Nov 12 18:35:12 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","E2-STATES.10","","Tue Nov 12 18:32:05 GMT 2024","passed","Tue Nov 12 18:32:05 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
