"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","PRINT-GRAPH.02","","Thu Nov 07 03:54:00 GMT 2024","passed","Thu Nov 07 03:54:00 GMT 2024","","METTA-WAM-ISSUE-145","METTA-WAM-ISSUE-145",""
"","1","STATES-SPACES.06","","Thu Nov 07 04:07:58 GMT 2024","passed","Thu Nov 07 04:07:58 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","4","E1-KB-WRITE.01","","Thu Nov 07 03:56:00 GMT 2024","passed","Thu Nov 07 03:56:00 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","LETLET.01","","Thu Nov 07 04:07:58 GMT 2024","passed","Thu Nov 07 04:07:58 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","59","F1-IMPORTS.19","","Thu Nov 07 03:56:00 GMT 2024","passed","Thu Nov 07 03:56:00 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","HYPERPOSE.09","","Thu Nov 07 04:07:58 GMT 2024","passed","Thu Nov 07 04:07:58 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","3","TYPES3.01","","Thu Nov 07 04:07:58 GMT 2024","passed","Thu Nov 07 04:07:58 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","8000","hyperon-mettalog_sanity.py_types_2","","Thu Nov 07 03:50:56 GMT 2024","passed","Thu Nov 07 03:51:04 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","1","F1-IMPORTS.10","","Thu Nov 07 04:11:33 GMT 2024","passed","Thu Nov 07 04:11:33 GMT 2024","","QUICK","QUICK",""
"","3","UNIQUE-TEST.10","","Thu Nov 07 03:59:00 GMT 2024","passed","Thu Nov 07 03:59:00 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","D2-HIGHERFUNC.04","","Thu Nov 07 03:56:00 GMT 2024","passed","Thu Nov 07 03:56:00 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","D4-TYPE-PROP.12","","Thu Nov 07 04:11:33 GMT 2024","passed","Thu Nov 07 04:11:33 GMT 2024","","QUICK","QUICK",""
