"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","UNIQUE-TEST.08","","Fri Nov 01 20:29:56 GMT 2024","passed","Fri Nov 01 20:29:56 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","02-CURRIED-PLUS.01","","Fri Nov 01 20:29:56 GMT 2024","passed","Fri Nov 01 20:29:56 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","B5-TYPES-PRELIM.23","","Fri Nov 01 20:26:54 GMT 2024","passed","Fri Nov 01 20:26:54 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","3","TYPES2.01","","Fri Nov 01 20:37:56 GMT 2024","passed","Fri Nov 01 20:37:56 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","8000","metta-morph_tests.superpose_nested","","Fri Nov 01 20:21:45 GMT 2024","passed","Fri Nov 01 20:21:53 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","5","SPACE-SUBTRACTION-TESTS.11","","Fri Nov 01 20:29:56 GMT 2024","passed","Fri Nov 01 20:29:56 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","14","D1-GADT.05","","Fri Nov 01 20:41:41 GMT 2024","passed","Fri Nov 01 20:41:41 GMT 2024","","QUICK","QUICK",""
"","51","BCHAIN-COMP.02","","Fri Nov 01 20:21:53 GMT 2024","failed","Fri Nov 01 20:21:53 GMT 2024","","ANTI-REGRESSION","ANTI-REGRESSION",""
"","2","C2-SPACES.03","","Fri Nov 01 20:21:36 GMT 2024","passed","Fri Nov 01 20:21:36 GMT 2024","","MODULE-SYSTEM","MODULE-SYSTEM",""
"","3","OR-TEST.17","","Fri Nov 01 20:29:56 GMT 2024","passed","Fri Nov 01 20:29:56 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","F1-IMPORTS.09","","Fri Nov 01 20:41:41 GMT 2024","passed","Fri Nov 01 20:41:41 GMT 2024","","QUICK","QUICK",""
"","1","B5-TYPES-PRELIM.03","","Fri Nov 01 20:26:54 GMT 2024","passed","Fri Nov 01 20:26:54 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","4","D4-TYPE-PROP.01","","Fri Nov 01 20:41:41 GMT 2024","passed","Fri Nov 01 20:41:41 GMT 2024","","QUICK","QUICK",""
"","73","MINIMAL-METTA-TESTS.15","","Fri Nov 01 20:29:56 GMT 2024","passed","Fri Nov 01 20:29:56 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","03-SORING-VIA-INSERT.05","","Fri Nov 01 20:29:56 GMT 2024","passed","Fri Nov 01 20:29:56 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
