"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","RECURSION-AND-CONTROL---METTA-LANGUAGE8.03","","Mon Nov 11 19:21:51 GMT 2024","passed","Mon Nov 11 19:21:51 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","B5-TYPES-PRELIM.10","","Mon Nov 11 19:09:53 GMT 2024","passed","Mon Nov 11 19:09:53 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","3","HANDLING-NONDETERMINISTIC-RESULTS---METTA-LANGUAGE8.04","","Mon Nov 11 19:21:51 GMT 2024","passed","Mon Nov 11 19:21:51 GMT 2024","","METTA-LANG","METTA-LANG",""
"","8000","metta_lang.Recursion_and_control___MeTTa_Language5","","Mon Nov 11 19:04:45 GMT 2024","passed","Mon Nov 11 19:04:53 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","3","B5-TYPES-PRELIM.18","","Mon Nov 11 19:09:53 GMT 2024","passed","Mon Nov 11 19:09:53 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","41","CONSOLE-OUTPUT-AND-DEBUGGING---METTA-LANGUAGE5.03","","Mon Nov 11 19:21:51 GMT 2024","failed","Mon Nov 11 19:21:51 GMT 2024","","METTA-LANG","METTA-LANG",""
"","8000","hyperon-mettalog_sanity.xor_test","","Mon Nov 11 19:04:45 GMT 2024","passed","Mon Nov 11 19:04:53 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","3","OR-TEST.17","","Mon Nov 11 19:12:52 GMT 2024","passed","Mon Nov 11 19:12:52 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","B2-BACKCHAIN.04","","Mon Nov 11 19:09:53 GMT 2024","passed","Mon Nov 11 19:09:53 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","45","BCHAIN-COMP.01","","Mon Nov 11 19:04:53 GMT 2024","failed","Mon Nov 11 19:04:53 GMT 2024","","ANTI-REGRESSION","ANTI-REGRESSION",""
"","48","CONSOLE-OUTPUT-AND-DEBUGGING---METTA-LANGUAGE5.08","","Mon Nov 11 19:21:51 GMT 2024","failed","Mon Nov 11 19:21:51 GMT 2024","","METTA-LANG","METTA-LANG",""
"","1","METATYPES---METTA-LANGUAGE1.08","","Mon Nov 11 19:21:51 GMT 2024","passed","Mon Nov 11 19:21:51 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","03-SORING-VIA-INSERT.05","","Mon Nov 11 19:12:52 GMT 2024","passed","Mon Nov 11 19:12:52 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","D2-HIGHERFUNC.06","","Mon Nov 11 19:09:53 GMT 2024","passed","Mon Nov 11 19:09:53 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","C2-SPACES.02","","Mon Nov 11 19:04:36 GMT 2024","passed","Mon Nov 11 19:04:36 GMT 2024","","MODULE-SYSTEM","MODULE-SYSTEM",""
"","1","LIMIT-TESTS.10","","Mon Nov 11 19:12:52 GMT 2024","passed","Mon Nov 11 19:12:52 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","B4-NONDETERM.05","","Mon Nov 11 19:09:53 GMT 2024","passed","Mon Nov 11 19:09:53 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","SPACE-INTERSECTION-TESTS.19","","Mon Nov 11 19:12:52 GMT 2024","passed","Mon Nov 11 19:12:52 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","BASE-TEST-REPR-PARSE-INTERSECTION.04","","Mon Nov 11 19:12:52 GMT 2024","passed","Mon Nov 11 19:12:52 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","METATYPES---METTA-LANGUAGE1.05","","Mon Nov 11 19:21:51 GMT 2024","passed","Mon Nov 11 19:21:51 GMT 2024","","METTA-LANG","METTA-LANG",""
"","46000","synth_buffer.time_synthesize_long","","Mon Nov 11 19:04:45 GMT 2024","failed","Mon Nov 11 19:05:31 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","TESTS0.04","","Mon Nov 11 19:40:38 GMT 2024","passed","Mon Nov 11 19:40:38 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","2","OPERATIONS-OVER-ATOMS---METTA-LANGUAGE5.02","","Mon Nov 11 19:21:51 GMT 2024","passed","Mon Nov 11 19:21:51 GMT 2024","","METTA-LANG","METTA-LANG",""
"","8000","metta-morph_tests.states_spaces","","Mon Nov 11 19:04:45 GMT 2024","passed","Mon Nov 11 19:04:53 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","3","06-MATCH-IN-SPACE.01","","Mon Nov 11 19:12:52 GMT 2024","passed","Mon Nov 11 19:12:52 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
